index;id_torneio;time;remaining_players;number_of_entries
0;3796428490;0:00:15;25;45
1;3796428490;0:01:10;26;45
2;3796428490;0:02:06;27;45
3;3796428490;0:03:14;29;45
4;3796428490;0:04:10;34;45
5;3796428490;0:05:17;38;45
6;3796428490;0:06:13;39;45
7;3796428490;0:07:09;41;45
8;3796428490;0:08:16;42;45
9;3796428490;0:09:12;42;45
10;3796428490;0:10:19;40;45
11;3796428490;0:11:15;40;45
12;3796428490;0:12:22;39;45
13;3796428490;0:13:18;38;45
14;3796428490;0:14:14;37;45
15;3796428490;0:15:21;36;45
16;3796428490;0:16:17;34;45
17;3796428490;0:17:25;34;45
18;3796428490;0:18:21;34;45
19;3796428490;0:19:17;33;45
20;3796428490;0:20:24;32;45
21;3796428490;0:21:20;32;45
22;3796428490;0:22:27;32;45
23;3796428490;0:23:23;32;45
24;3796428490;0:24:30;30;45
25;3796428490;0:25:26;30;45
26;3796428490;0:26:22;29;45
27;3796428490;0:27:29;29;45
28;3796428490;0:28:25;27;45
29;3796428490;0:29:32;27;45
30;3796428490;0:30:28;25;45
31;3796428490;0:31:24;24;45
32;3796428490;0:32:31;24;45
33;3796428490;0:33:27;24;45
34;3796428490;0:34:35;23;45
35;3796428490;0:35:31;21;45
36;3796428490;0:36:38;20;45
37;3796428490;0:37:34;20;45
38;3796428490;0:38:30;19;45
39;3796428490;0:39:37;18;45
40;3796428490;0:40:33;18;45
41;3796428490;0:41:40;18;45
42;3796428490;0:42:36;18;45
43;3796428490;0:43:32;18;45
44;3796428490;0:44:39;18;45
45;3796428490;0:45:35;18;45
46;3796428490;0:46:42;17;45
47;3796428490;0:47:38;16;45
48;3796428490;0:48:46;15;45
49;3796428490;0:49:42;15;45
50;3796428490;0:50:38;14;45
51;3796428490;0:51:45;14;45
52;3796428490;0:52:41;14;45
53;3796428490;0:53:48;14;45
54;3796428490;0:54:44;14;45
55;3796428490;0:55:51;14;45
56;3796428490;0:56:47;14;45
57;3796428490;0:57:43;14;45
58;3796428490;0:58:50;14;45
59;3796428490;0:59:46;14;45
60;3796428490;1:00:53;14;45
61;3796428490;1:01:49;14;45
62;3796428490;1:02:45;14;45
63;3796428490;1:03:53;13;45
64;3796428490;1:04:48;12;45
65;3796428490;1:05:56;12;45
66;3796428490;1:06:52;11;45
67;3796428490;1:07:59;11;45
68;3796428490;1:08:55;10;45
69;3796428490;1:09:51;10;45
70;3796428490;1:10:58;10;45
71;3796428490;1:11:54;9;45
72;3796428490;1:13:01;9;45
73;3796428490;1:13:57;9;45
74;3796428490;1:14:53;8;45
75;3796428490;1:16:00;8;45
76;3796428490;1:16:56;8;45
77;3796428490;1:18:03;8;45
78;3796428490;1:18:59;8;45
79;3796428490;1:20:07;8;45
80;3796428490;1:21:03;8;45
81;3796428490;1:21:59;8;45
82;3796428490;1:23:06;8;45
83;3796428490;1:24:02;8;45
84;3796428490;1:25:09;8;45
85;3796428490;1:26:05;8;45
86;3796428490;1:27:01;8;45
87;3796428490;1:28:08;8;45
88;3796428490;1:29:04;8;45
89;3796428490;1:30:11;8;45
90;3796428490;1:31:07;7;45
91;3796428490;1:32:14;7;45
92;3796428490;1:33:10;6;45
93;3796428490;1:34:06;5;45
94;3796428490;1:35:14;5;45
95;3796428490;1:36:10;5;45
96;3796428490;1:37:17;5;45
97;3796428490;1:38:13;5;45
98;3796428490;1:39:09;5;45
99;3796428490;1:40:16;5;45
100;3796428490;1:41:12;5;45
101;3796428490;1:42:19;5;45
102;3796428490;1:43:15;4;45
103;3796428490;1:44:22;4;45
104;3796428490;1:45:18;3;45
105;3796428490;1:46:14;3;45
106;3796428490;1:47:21;3;45
107;3796428490;1:48:17;3;45
108;3796428490;1:49:24;3;45
109;3796428490;1:50:20;3;45
110;3796428490;1:51:28;3;45
111;3796428490;1:52:24;3;45
112;3796428490;1:53:20;3;45
113;3796428490;1:54:27;3;45
114;3796428490;1:55:23;3;45
115;3796428490;1:56:30;2;45
116;3796428490;1:57:26;2;45
117;3796428490;1:58:00;2;45
118;3796428490;1:58:00;2;45
