index;id_torneio;time;remaining_players;number_of_entries
0;tm_df;0:00:41;22;45
1;tm_df;0:01:32;26;45
2;tm_df;0:02:35;28;45
3;tm_df;0:03:38;28;45
4;tm_df;0:04:42;31;45
5;tm_df;0:05:32;43;45
6;tm_df;0:06:36;43;45
7;tm_df;0:07:39;43;45
8;tm_df;0:08:43;43;45
9;tm_df;0:09:33;43;45
10;tm_df;0:10:37;43;45
11;tm_df;0:11:40;42;45
12;tm_df;0:12:43;42;45
13;tm_df;0:13:47;42;45
14;tm_df;0:14:38;41;45
15;tm_df;0:15:41;41;45
16;tm_df;0:16:44;39;45
17;tm_df;0:17:48;38;45
18;tm_df;0:18:38;38;45
19;tm_df;0:19:42;38;45
20;tm_df;0:20:45;37;45
21;tm_df;0:21:49;37;45
22;tm_df;0:22:39;37;45
23;tm_df;0:23:43;37;45
24;tm_df;0:24:46;37;45
25;tm_df;0:25:49;36;45
26;tm_df;0:26:53;36;45
27;tm_df;0:27:43;35;45
28;tm_df;0:28:47;35;45
29;tm_df;0:29:50;35;45
30;tm_df;0:30:54;35;45
31;tm_df;0:31:44;35;45
32;tm_df;0:32:48;35;45
33;tm_df;0:33:51;34;45
34;tm_df;0:34:54;34;45
35;tm_df;0:35:45;34;45
36;tm_df;0:36:49;34;45
37;tm_df;0:37:52;31;45
38;tm_df;0:38:55;31;45
39;tm_df;0:39:59;31;45
40;tm_df;0:40:49;31;45
41;tm_df;0:41:53;31;45
42;tm_df;0:42:56;31;45
43;tm_df;0:44:00;30;45
44;tm_df;0:44:50;29;45
45;tm_df;0:45:54;28;45
46;tm_df;0:46:57;28;45
47;tm_df;0:48:00;28;45
48;tm_df;0:48:51;28;45
49;tm_df;0:49:54;27;45
50;tm_df;0:50:58;26;45
51;tm_df;0:52:01;24;45
52;tm_df;0:53:05;24;45
53;tm_df;0:53:55;24;45
54;tm_df;0:54:59;24;45
55;tm_df;0:56:02;24;45
56;tm_df;0:57:05;23;45
57;tm_df;0:57:56;23;45
58;tm_df;0:59:00;21;45
59;tm_df;1:00:03;20;45
60;tm_df;1:01:06;20;45
61;tm_df;1:02:10;20;45
62;tm_df;1:03:00;20;45
63;tm_df;1:04:04;19;45
64;tm_df;1:05:07;17;45
65;tm_df;1:06:11;17;45
66;tm_df;1:07:01;17;45
67;tm_df;1:08:05;17;45
68;tm_df;1:09:08;17;45
69;tm_df;1:10:11;15;45
70;tm_df;1:11:02;15;45
71;tm_df;1:12:05;14;45
72;tm_df;1:13:09;14;45
73;tm_df;1:14:12;14;45
74;tm_df;1:15:16;14;45
75;tm_df;1:16:06;12;45
76;tm_df;1:17:10;12;45
77;tm_df;1:18:13;12;45
78;tm_df;1:19:16;12;45
79;tm_df;1:20:07;11;45
80;tm_df;1:21:11;10;45
81;tm_df;1:22:14;10;45
82;tm_df;1:23:17;10;45
83;tm_df;1:24:08;9;45
84;tm_df;1:25:11;9;45
85;tm_df;1:26:15;9;45
86;tm_df;1:27:18;9;45
87;tm_df;1:28:21;9;45
88;tm_df;1:20:12;9;45
89;tm_df;1:30:16;9;45
90;tm_df;1:31:19;9;45
91;tm_df;1:32:22;9;45
92;tm_df;1:33:13;9;45
93;tm_df;1:34:16;8;45
94;tm_df;1:35:20;8;45
95;tm_df;1:36:23;8;45
96;tm_df;1:37:14;8;45
97;tm_df;1:38:17;7;45
98;tm_df;1:39:21;7;45
99;tm_df;1:40:24;7;45
100;tm_df;1:41:27;7;45
101;tm_df;1:42:18;7;45
102;tm_df;1:43:21;7;45
103;tm_df;1:44:25;7;45
104;tm_df;1:45:28;6;45
105;tm_df;1:46:19;6;45
106;tm_df;1:47:22;6;45
107;tm_df;1:48:26;6;45
108;tm_df;1:49:29;5;45
109;tm_df;1:50:20;5;45
110;tm_df;1:51:23;5;45
111;tm_df;1:52:27;4;45
112;tm_df;1:53:30;3;45
113;tm_df;1:54:33;3;45
114;tm_df;1:55:24;3;45
115;tm_df;1:56:27;3;45
116;tm_df;1:57:31;3;45
117;tm_df;1:58:34;2;45
118;tm_df;1:59:25;2;45
119;tm_df;2:00:28;2;45
120;tm_df;2:01:32;2;45
121;tm_df;2:02:35;2;45
122;tm_df;2:03:38;2;45
123;tm_df;2:04:29;2;45
124;tm_df;2:05:32;2;45
125;tm_df;2:06:36;2;45
126;tm_df;2:07:39;2;45
127;tm_df;2:08:30;2;45
128;tm_df;2:09:33;2;45
129;tm_df;2:10:37;2;45
130;tm_df;2:11:40;2;45
131;tm_df;2:12:31;2;45
132;tm_df;2:13:34;2;45
133;tm_df;2:14:00;2;45
134;tm_df;2:14:00;2;45
