index;id_torneio;time;remaining_players;number_of_entries
0;3796396758;0:00:16;22;45
1;3796396758;0:01:12;26;45
2;3796396758;0:02:07;28;45
3;3796396758;0:03:15;32;45
4;3796396758;0:04:11;33;45
5;3796396758;0:05:18;40;45
6;3796396758;0:06:14;42;45
7;3796396758;0:07:10;42;45
8;3796396758;0:08:17;41;45
9;3796396758;0:09:13;41;45
10;3796396758;0:10:20;41;45
11;3796396758;0:11:16;41;45
12;3796396758;0:12:23;40;45
13;3796396758;0:13:19;38;45
14;3796396758;0:14:15;38;45
15;3796396758;0:15:22;38;45
16;3796396758;0:16:18;38;45
17;3796396758;0:17:25;38;45
18;3796396758;0:18:21;37;45
19;3796396758;0:19:17;36;45
20;3796396758;0:20:25;36;45
21;3796396758;0:21:21;36;45
22;3796396758;0:22:28;36;45
23;3796396758;0:23:24;36;45
24;3796396758;0:24:31;35;45
25;3796396758;0:25:27;33;45
26;3796396758;0:26:23;33;45
27;3796396758;0:27:30;33;45
28;3796396758;0:28:26;32;45
29;3796396758;0:29:33;31;45
30;3796396758;0:30:29;31;45
31;3796396758;0:31:25;31;45
32;3796396758;0:32:32;30;45
33;3796396758;0:33:28;29;45
34;3796396758;0:34:35;29;45
35;3796396758;0:35:31;28;45
36;3796396758;0:36:39;28;45
37;3796396758;0:37:35;28;45
38;3796396758;0:38:30;27;45
39;3796396758;0:39:38;27;45
40;3796396758;0:40:34;26;45
41;3796396758;0:41:41;24;45
42;3796396758;0:42:37;22;45
43;3796396758;0:43:44;19;45
44;3796396758;0:44:40;19;45
45;3796396758;0:45:36;19;45
46;3796396758;0:46:43;19;45
47;3796396758;0:47:39;19;45
48;3796396758;0:48:46;19;45
49;3796396758;0:49:42;19;45
50;3796396758;0:50:38;19;45
51;3796396758;0:51:45;19;45
52;3796396758;0:52:41;17;45
53;3796396758;0:53:48;16;45
54;3796396758;0:54:44;16;45
55;3796396758;0:55:52;16;45
56;3796396758;0:56:48;16;45
57;3796396758;0:57:44;16;45
58;3796396758;0:58:51;15;45
59;3796396758;0:59:47;15;45
60;3796396758;1:00:54;15;45
61;3796396758;1:01:50;15;45
62;3796396758;1:02:46;15;45
63;3796396758;1:03:53;15;45
64;3796396758;1:04:49;14;45
65;3796396758;1:05:56;13;45
66;3796396758;1:06:52;13;45
67;3796396758;1:07:59;13;45
68;3796396758;1:08:55;13;45
69;3796396758;1:09:51;13;45
70;3796396758;1:10:58;13;45
71;3796396758;1:11:54;13;45
72;3796396758;1:13:02;13;45
73;3796396758;1:13:58;13;45
74;3796396758;1:15:05;12;45
75;3796396758;1:16:01;11;45
76;3796396758;1:16:57;11;45
77;3796396758;1:18:04;11;45
78;3796396758;1:19:00;11;45
79;3796396758;1:20:07;10;45
80;3796396758;1:21:03;10;45
81;3796396758;1:21:59;10;45
82;3796396758;1:23:06;10;45
83;3796396758;1:24:02;10;45
84;3796396758;1:25:09;9;45
85;3796396758;1:26:05;9;45
86;3796396758;1:27:12;9;45
87;3796396758;1:28:08;9;45
88;3796396758;1:29:04;9;45
89;3796396758;1:30:11;9;45
90;3796396758;1:31:07;9;45
91;3796396758;1:32:15;9;45
92;3796396758;1:33:11;9;45
93;3796396758;1:34:07;9;45
94;3796396758;1:35:14;8;45
95;3796396758;1:36:10;8;45
96;3796396758;1:37:17;8;45
97;3796396758;1:38:13;7;45
98;3796396758;1:39:20;7;45
99;3796396758;1:40:16;7;45
100;3796396758;1:41:12;7;45
101;3796396758;1:42:19;7;45
102;3796396758;1:43:15;7;45
103;3796396758;1:44:22;7;45
104;3796396758;1:45:18;7;45
105;3796396758;1:46:14;7;45
106;3796396758;1:47:21;7;45
107;3796396758;1:48:17;5;45
108;3796396758;1:49:25;5;45
109;3796396758;1:50:21;5;45
110;3796396758;1:51:28;4;45
111;3796396758;1:52:24;4;45
112;3796396758;1:53:20;4;45
113;3796396758;1:54:27;4;45
114;3796396758;1:55:23;3;45
115;3796396758;1:56:30;2;45
116;3796396758;1:57:26;2;45
117;3796396758;1:58:00;2;45
118;3796396758;1:58:00;2;45
