index;id_torneio;time;remaining_players;number_of_entries
0;3796424806;0:00:16;24;45
1;3796424806;0:01:09;28;45
2;3796424806;0:02:12;32;45
3;3796424806;0:03:16;32;45
4;3796424806;0:04:09;33;45
5;3796424806;0:05:13;36;45
6;3796424806;0:06:17;41;45
7;3796424806;0:07:10;41;45
8;3796424806;0:08:14;41;45
9;3796424806;0:09:17;41;45
10;3796424806;0:10:21;40;45
11;3796424806;0:11:14;39;45
12;3796424806;0:12:18;39;45
13;3796424806;0:13:22;38;45
14;3796424806;0:14:15;37;45
15;3796424806;0:15:19;37;45
16;3796424806;0:16:22;36;45
17;3796424806;0:17:26;36;45
18;3796424806;0:18:19;36;45
19;3796424806;0:19:23;36;45
20;3796424806;0:20:27;36;45
21;3796424806;0:21:20;36;45
22;3796424806;0:22:24;35;45
23;3796424806;0:23:27;35;45
24;3796424806;0:24:31;35;45
25;3796424806;0:25:24;35;45
26;3796424806;0:26:28;34;45
27;3796424806;0:27:32;33;45
28;3796424806;0:28:25;32;45
29;3796424806;0:29:29;32;45
30;3796424806;0:30:32;32;45
31;3796424806;0:31:36;32;45
32;3796424806;0:32:29;32;45
33;3796424806;0:33:33;31;45
34;3796424806;0:34:37;29;45
35;3796424806;0:35:30;28;45
36;3796424806;0:36:34;28;45
37;3796424806;0:37:37;28;45
38;3796424806;0:38:30;28;45
39;3796424806;0:39:34;26;45
40;3796424806;0:40:38;26;45
41;3796424806;0:41:42;25;45
42;3796424806;0:42:35;24;45
43;3796424806;0:43:38;23;45
44;3796424806;0:44:42;22;45
45;3796424806;0:45:35;19;45
46;3796424806;0:46:39;19;45
47;3796424806;0:47:43;19;45
48;3796424806;0:48:47;18;45
49;3796424806;0:49:40;18;45
50;3796424806;0:50:43;18;45
51;3796424806;0:51:47;18;45
52;3796424806;0:52:40;18;45
53;3796424806;0:53:44;18;45
54;3796424806;0:54:48;18;45
55;3796424806;0:55:52;18;45
56;3796424806;0:56:45;18;45
57;3796424806;0:57:48;16;45
58;3796424806;0:58:52;16;45
59;3796424806;0:59:45;16;45
60;3796424806;1:00:49;15;45
61;3796424806;1:01:53;15;45
62;3796424806;1:02:57;15;45
63;3796424806;1:03:50;13;45
64;3796424806;1:04:53;13;45
65;3796424806;1:05:57;13;45
66;3796424806;1:06:50;12;45
67;3796424806;1:07:54;11;45
68;3796424806;1:08:58;11;45
69;3796424806;1:09:51;10;45
70;3796424806;1:10:55;10;45
71;3796424806;1:11:58;9;45
72;3796424806;1:13:02;9;45
73;3796424806;1:13:55;9;45
74;3796424806;1:14:59;8;45
75;3796424806;1:16:03;8;45
76;3796424806;1:16:56;8;45
77;3796424806;1:18:00;8;45
78;3796424806;1:19:03;8;45
79;3796424806;1:20:07;8;45
80;3796424806;1:21:00;8;45
81;3796424806;1:22:04;7;45
82;3796424806;1:23:08;7;45
83;3796424806;1:24:01;7;45
84;3796424806;1:25:05;7;45
85;3796424806;1:26:08;7;45
86;3796424806;1:27:12;7;45
87;3796424806;1:28:05;6;45
88;3796424806;1:29:09;6;45
89;3796424806;1:30:13;6;45
90;3796424806;1:31:06;6;45
91;3796424806;1:32:10;6;45
92;3796424806;1:33:13;5;45
93;3796424806;1:34:17;5;45
94;3796424806;1:35:10;5;45
95;3796424806;1:36:14;5;45
96;3796424806;1:37:18;5;45
97;3796424806;1:38:11;4;45
98;3796424806;1:39:15;4;45
99;3796424806;1:40:18;4;45
100;3796424806;1:41:22;4;45
101;3796424806;1:42:15;4;45
102;3796424806;1:43:19;4;45
103;3796424806;1:44:23;4;45
104;3796424806;1:45:16;3;45
105;3796424806;1:46:20;2;45
106;3796424806;1:47:23;2;45
107;3796424806;1:48:16;2;45
108;3796424806;1:49:20;2;45
109;3796424806;1:50:24;2;45
110;3796424806;1:51:28;2;45
111;3796424806;1:52:00;2;45
112;3796424806;1:52:00;2;45
