index;id_torneio;time;remaining_players;number_of_entries
0;3796786100;0:00:37;25;45
1;3796786100;0:01:31;26;45
2;3796786100;0:02:36;28;45
3;3796786100;0:03:30;28;45
4;3796786100;0:04:34;32;45
5;3796786100;0:05:39;33;45
6;3796786100;0:06:33;34;45
7;3796786100;0:07:38;38;45
8;3796786100;0:08:31;37;45
9;3796786100;0:09:36;38;45
10;3796786100;0:10:41;41;45
11;3796786100;0:11:35;41;45
12;3796786100;0:12:39;41;45
13;3796786100;0:13:33;41;45
14;3796786100;0:14:38;40;45
15;3796786100;0:15:43;39;45
16;3796786100;0:16:37;39;45
17;3796786100;0:17:41;38;45
18;3796786100;0:18:35;38;45
19;3796786100;0:19:40;38;45
20;3796786100;0:20:44;38;45
21;3796786100;0:21:38;38;45
22;3796786100;0:22:43;38;45
23;3796786100;0:23:48;35;45
24;3796786100;0:24:42;34;45
25;3796786100;0:25:46;34;45
26;3796786100;0:26:40;33;45
27;3796786100;0:27:45;33;45
28;3796786100;0:28:50;33;45
29;3796786100;0:29:43;32;45
30;3796786100;0:30:48;31;45
31;3796786100;0:31:42;30;45
32;3796786100;0:32:47;30;45
33;3796786100;0:33:51;30;45
34;3796786100;0:34:45;29;45
35;3796786100;0:35:50;29;45
36;3796786100;0:36:44;28;45
37;3796786100;0:37:49;28;45
38;3796786100;0:38:53;24;45
39;3796786100;0:39:47;24;45
40;3796786100;0:40:52;23;45
41;3796786100;0:41:46;22;45
42;3796786100;0:42:50;21;45
43;3796786100;0:43:55;21;45
44;3796786100;0:44:49;21;45
45;3796786100;0:45:54;21;45
46;3796786100;0:46:58;21;45
47;3796786100;0:47:52;21;45
48;3796786100;0:48:57;21;45
49;3796786100;0:49:51;20;45
50;3796786100;0:50:56;20;45
51;3796786100;0:52:00;19;45
52;3796786100;0:52:54;17;45
53;3796786100;0:53:59;16;45
54;3796786100;0:54:53;16;45
55;3796786100;0:55:57;15;45
56;3796786100;0:57:02;15;45
57;3796786100;0:57:56;13;45
58;3796786100;0:59:01;13;45
59;3796786100;0:59:55;13;45
60;3796786100;1:00:59;13;45
61;3796786100;1:02:04;12;45
62;3796786100;1:02:58;12;45
63;3796786100;1:04:03;12;45
64;3796786100;1:04:56;12;45
65;3796786100;1:06:01;12;45
66;3796786100;1:07:06;11;45
67;3796786100;1:08:00;11;45
68;3796786100;1:09:04;10;45
69;3796786100;1:10:09;10;45
70;3796786100;1:11:03;10;45
71;3796786100;1:12:08;10;45
72;3796786100;1:13:02;10;45
73;3796786100;1:14:06;10;45
74;3796786100;1:15:11;10;45
75;3796786100;1:16:05;10;45
76;3796786100;1:17:10;9;45
77;3796786100;1:18:03;9;45
78;3796786100;1:19:08;9;45
79;3796786100;1:20:13;9;45
80;3796786100;1:21:07;9;45
81;3796786100;1:22:11;9;45
82;3796786100;1:23:05;9;45
83;3796786100;1:24:10;8;45
84;3796786100;1:25:15;8;45
85;3796786100;1:26:09;7;45
86;3796786100;1:27:13;7;45
87;3796786100;1:28:18;6;45
88;3796786100;1:20:12;6;45
89;3796786100;1:30:16;6;45
90;3796786100;1:31:10;6;45
91;3796786100;1:32:15;6;45
92;3796786100;1:33:20;6;45
93;3796786100;1:34:14;6;45
94;3796786100;1:35:18;6;45
95;3796786100;1:36:12;6;45
96;3796786100;1:37:17;3;45
97;3796786100;1:38:22;3;45
98;3796786100;1:39:16;3;45
99;3796786100;1:40:20;3;45
100;3796786100;1:41:14;3;45
101;3796786100;1:42:19;3;45
102;3796786100;1:43:23;3;45
103;3796786100;1:44:17;3;45
104;3796786100;1:45:22;3;45
105;3796786100;1:46:16;3;45
106;3796786100;1:47:21;3;45
107;3796786100;1:48:25;3;45
108;3796786100;1:49:19;3;45
109;3796786100;1:50:24;3;45
110;3796786100;1:51:29;3;45
111;3796786100;1:52:22;3;45
112;3796786100;1:53:27;2;45
113;3796786100;1:54:00;2;45
114;3796786100;1:54:00;2;45
