index;id_torneio;time;remaining_players;number_of_entries
0;3796594350;0:00:15;22;45
1;3796594350;0:01:12;24;45
2;3796594350;0:02:10;26;45
3;3796594350;0:03:08;28;45
4;3796594350;0:04:06;28;45
5;3796594350;0:05:16;30;45
6;3796594350;0:06:13;32;45
7;3796594350;0:07:11;34;45
8;3796594350;0:08:09;36;45
9;3796594350;0:09:19;38;45
10;3796594350;0:10:17;39;45
11;3796594350;0:11:14;42;45
12;3796594350;0:12:12;41;45
13;3796594350;0:13:22;39;45
14;3796594350;0:14:20;39;45
15;3796594350;0:15:18;39;45
16;3796594350;0:16:15;39;45
17;3796594350;0:17:25;39;45
18;3796594350;0:18:23;38;45
19;3796594350;0:19:21;38;45
20;3796594350;0:20:19;37;45
21;3796594350;0:21:28;37;45
22;3796594350;0:22:26;36;45
23;3796594350;0:23:24;36;45
24;3796594350;0:24:22;35;45
25;3796594350;0:25:31;35;45
26;3796594350;0:26:29;34;45
27;3796594350;0:27:27;34;45
28;3796594350;0:28:25;32;45
29;3796594350;0:29:23;30;45
30;3796594350;0:30:32;30;45
31;3796594350;0:31:30;29;45
32;3796594350;0:32:28;29;45
33;3796594350;0:33:26;29;45
34;3796594350;0:34:35;29;45
35;3796594350;0:35:33;28;45
36;3796594350;0:36:31;27;45
37;3796594350;0:37:29;27;45
38;3796594350;0:38:38;27;45
39;3796594350;0:39:36;27;45
40;3796594350;0:40:34;27;45
41;3796594350;0:41:32;26;45
42;3796594350;0:42:41;23;45
43;3796594350;0:43:39;23;45
44;3796594350;0:44:37;23;45
45;3796594350;0:45:35;22;45
46;3796594350;0:46:45;21;45
47;3796594350;0:47:42;21;45
48;3796594350;0:48:40;21;45
49;3796594350;0:49:38;21;45
50;3796594350;0:50:48;21;45
51;3796594350;0:51:46;21;45
52;3796594350;0:52:43;20;45
53;3796594350;0:53:41;19;45
54;3796594350;0:54:39;19;45
55;3796594350;0:55:49;17;45
56;3796594350;0:56:47;17;45
57;3796594350;0:57:44;17;45
58;3796594350;0:58:42;16;45
59;3796594350;0:59:52;15;45
60;3796594350;1:00:50;14;45
61;3796594350;1:01:48;13;45
62;3796594350;1:02:45;13;45
63;3796594350;1:03:55;13;45
64;3796594350;1:04:53;13;45
65;3796594350;1:05:51;13;45
66;3796594350;1:06:49;13;45
67;3796594350;1:07:58;13;45
68;3796594350;1:08:56;13;45
69;3796594350;1:00:54;12;45
70;3796594350;1:10:52;12;45
71;3796594350;1:12:01;11;45
72;3796594350;1:12:59;11;45
73;3796594350;1:13:57;10;45
74;3796594350;1:14:55;10;45
75;3796594350;1:16:04;10;45
76;3796594350;1:17:02;10;45
77;3796594350;1:18:00;10;45
78;3796594350;1:18:58;10;45
79;3796594350;1:19:56;10;45
80;3796594350;1:21:05;10;45
81;3796594350;1:22:03;9;45
82;3796594350;1:23:01;9;45
83;3796594350;1:23:59;9;45
84;3796594350;1:25:08;8;45
85;3796594350;1:26:06;8;45
86;3796594350;1:27:04;8;45
87;3796594350;1:28:02;8;45
88;3796594350;1:20:11;8;45
89;3796594350;1:30:09;8;45
90;3796594350;1:31:07;8;45
91;3796594350;1:32:05;8;45
92;3796594350;1:33:15;8;45
93;3796594350;1:34:12;8;45
94;3796594350;1:35:10;8;45
95;3796594350;1:36:08;8;45
96;3796594350;1:37:18;8;45
97;3796594350;1:38:16;8;45
98;3796594350;1:39:13;8;45
99;3796594350;1:40:11;8;45
100;3796594350;1:41:21;8;45
101;3796594350;1:42:19;8;45
102;3796594350;1:43:17;8;45
103;3796594350;1:44:14;8;45
104;3796594350;1:45:12;8;45
105;3796594350;1:46:22;8;45
106;3796594350;1:47:20;8;45
107;3796594350;1:48:18;7;45
108;3796594350;1:49:15;7;45
109;3796594350;1:50:25;7;45
110;3796594350;1:51:23;6;45
111;3796594350;1:52:21;5;45
112;3796594350;1:53:19;4;45
113;3796594350;1:54:28;4;45
114;3796594350;1:55:26;3;45
115;3796594350;1:56:24;3;45
116;3796594350;1:57:22;2;45
117;3796594350;1:58:31;2;45
118;3796594350;1:59:29;2;45
119;3796594350;2:00:27;2;45
120;3796594350;2:01:25;2;45
121;3796594350;2:02:00;2;45
122;3796594350;2:02:00;2;45
