index;id_torneio;time;remaining_players;number_of_entries
0;3796782213;0:00:38;24;45
1;3796782213;0:01:36;29;45
2;3796782213;0:02:33;32;45
3;3796782213;0:03:30;33;45
4;3796782213;0:04:39;37;45
5;3796782213;0:05:36;41;45
6;3796782213;0:06:33;42;45
7;3796782213;0:07:30;41;45
8;3796782213;0:08:39;41;45
9;3796782213;0:09:36;40;45
10;3796782213;0:10:33;38;45
11;3796782213;0:11:42;38;45
12;3796782213;0:12:39;38;45
13;3796782213;0:13:37;38;45
14;3796782213;0:14:34;38;45
15;3796782213;0:15:42;38;45
16;3796782213;0:16:40;38;45
17;3796782213;0:17:37;36;45
18;3796782213;0:18:46;36;45
19;3796782213;0:19:43;35;45
20;3796782213;0:20:40;35;45
21;3796782213;0:21:37;35;45
22;3796782213;0:22:46;33;45
23;3796782213;0:23:43;33;45
24;3796782213;0:24:40;32;45
25;3796782213;0:25:49;31;45
26;3796782213;0:26:46;29;45
27;3796782213;0:27:43;29;45
28;3796782213;0:28:41;29;45
29;3796782213;0:29:49;29;45
30;3796782213;0:30:47;29;45
31;3796782213;0:31:44;28;45
32;3796782213;0:32:52;28;45
33;3796782213;0:33:50;28;45
34;3796782213;0:34:47;28;45
35;3796782213;0:35:44;25;45
36;3796782213;0:36:53;25;45
37;3796782213;0:37:50;24;45
38;3796782213;0:38:47;24;45
39;3796782213;0:39:56;24;45
40;3796782213;0:40:53;24;45
41;3796782213;0:41:50;22;45
42;3796782213;0:42:47;21;45
43;3796782213;0:43:56;20;45
44;3796782213;0:44:53;20;45
45;3796782213;0:45:51;20;45
46;3796782213;0:46:59;20;45
47;3796782213;0:47:56;20;45
48;3796782213;0:48:54;20;45
49;3796782213;0:49:51;18;45
50;3796782213;0:51:00;17;45
51;3796782213;0:51:57;17;45
52;3796782213;0:52:54;16;45
53;3796782213;0:54:03;16;45
54;3796782213;0:55:00;16;45
55;3796782213;0:55:57;16;45
56;3796782213;0:56:54;16;45
57;3796782213;0:58:03;15;45
58;3796782213;0:59:00;14;45
59;3796782213;0:59:57;13;45
60;3796782213;1:01:06;13;45
61;3796782213;1:02:03;13;45
62;3796782213;1:03:01;13;45
63;3796782213;1:03:58;13;45
64;3796782213;1:05:06;13;45
65;3796782213;1:06:04;13;45
66;3796782213;1:07:01;11;45
67;3796782213;1:08:10;10;45
68;3796782213;1:09:07;10;45
69;3796782213;1:10:04;10;45
70;3796782213;1:11:01;10;45
71;3796782213;1:12:10;9;45
72;3796782213;1:13:07;9;45
73;3796782213;1:14:04;9;45
74;3796782213;1:15:13;9;45
75;3796782213;1:16:10;9;45
76;3796782213;1:17:07;9;45
77;3796782213;1:18:05;9;45
78;3796782213;1:19:13;8;45
79;3796782213;1:20:11;8;45
80;3796782213;1:21:08;8;45
81;3796782213;1:22:05;8;45
82;3796782213;1:23:14;8;45
83;3796782213;1:24:11;8;45
84;3796782213;1:25:08;7;45
85;3796782213;1:26:17;7;45
86;3796782213;1:27:14;7;45
87;3796782213;1:28:11;6;45
88;3796782213;1:29:08;5;45
89;3796782213;1:30:17;5;45
90;3796782213;1:31:14;5;45
91;3796782213;1:32:11;5;45
92;3796782213;1:33:20;5;45
93;3796782213;1:34:17;5;45
94;3796782213;1:35:15;5;45
95;3796782213;1:36:12;5;45
96;3796782213;1:37:20;5;45
97;3796782213;1:38:18;4;45
98;3796782213;1:39:15;4;45
99;3796782213;1:40:24;4;45
100;3796782213;1:41:21;4;45
101;3796782213;1:42:18;3;45
102;3796782213;1:43:15;3;45
103;3796782213;1:44:24;2;45
104;3796782213;1:45:21;2;45
105;3796782213;1:46:18;2;45
106;3796782213;1:47:27;2;45
107;3796782213;1:48:24;2;45
108;3796782213;1:49:21;2;45
109;3796782213;1:50:19;2;45
110;3796782213;1:51:27;2;45
111;3796782213;1:52:25;2;45
112;3796782213;1:53:22;2;45
113;3796782213;1:54:30;2;45
114;3796782213;1:55:28;2;45
115;3796782213;1:56:25;2;45
116;3796782213;1:57:22;2;45
117;3796782213;1:58:31;2;45
118;3796782213;1:59:28;2;45
119;3796782213;2:00:25;2;45
120;3796782213;2:01:00;2;45
121;3796782213;2:01:00;2;45
