index;id_torneio;time;remaining_players;number_of_entries
0;3796419958;0:00:16;22;45
1;3796419958;0:01:11;26;45
2;3796419958;0:02:07;28;45
3;3796419958;0:03:15;28;45
4;3796419958;0:04:11;32;45
5;3796419958;0:05:18;33;45
6;3796419958;0:06:14;38;45
7;3796419958;0:07:10;39;45
8;3796419958;0:08:17;43;45
9;3796419958;0:09:13;43;45
10;3796419958;0:10:20;43;45
11;3796419958;0:11:16;43;45
12;3796419958;0:12:23;42;45
13;3796419958;0:13:19;42;45
14;3796419958;0:14:15;41;45
15;3796419958;0:15:22;41;45
16;3796419958;0:16:18;41;45
17;3796419958;0:17:25;41;45
18;3796419958;0:18:21;41;45
19;3796419958;0:19:17;39;45
20;3796419958;0:20:25;39;45
21;3796419958;0:21:21;39;45
22;3796419958;0:22:28;38;45
23;3796419958;0:23:24;36;45
24;3796419958;0:24:31;36;45
25;3796419958;0:25:27;35;45
26;3796419958;0:26:23;35;45
27;3796419958;0:27:30;35;45
28;3796419958;0:28:26;35;45
29;3796419958;0:29:33;34;45
30;3796419958;0:30:29;33;45
31;3796419958;0:31:25;32;45
32;3796419958;0:32:32;31;45
33;3796419958;0:33:28;29;45
34;3796419958;0:34:35;29;45
35;3796419958;0:35:31;29;45
36;3796419958;0:36:39;29;45
37;3796419958;0:37:34;29;45
38;3796419958;0:38:30;29;45
39;3796419958;0:39:38;28;45
40;3796419958;0:40:34;28;45
41;3796419958;0:41:41;28;45
42;3796419958;0:42:37;27;45
43;3796419958;0:43:44;27;45
44;3796419958;0:44:40;27;45
45;3796419958;0:45:36;27;45
46;3796419958;0:46:43;25;45
47;3796419958;0:47:39;24;45
48;3796419958;0:48:46;24;45
49;3796419958;0:49:42;24;45
50;3796419958;0:50:38;24;45
51;3796419958;0:51:45;23;45
52;3796419958;0:52:41;21;45
53;3796419958;0:53:48;21;45
54;3796419958;0:54:44;20;45
55;3796419958;0:55:52;19;45
56;3796419958;0:56:48;19;45
57;3796419958;0:57:44;18;45
58;3796419958;0:58:51;17;45
59;3796419958;0:59:47;17;45
60;3796419958;1:00:54;17;45
61;3796419958;1:01:50;17;45
62;3796419958;1:02:46;15;45
63;3796419958;1:03:53;14;45
64;3796419958;1:04:49;14;45
65;3796419958;1:05:56;14;45
66;3796419958;1:06:52;12;45
67;3796419958;1:07:59;12;45
68;3796419958;1:08:55;12;45
69;3796419958;1:09:51;11;45
70;3796419958;1:10:58;10;45
71;3796419958;1:11:54;9;45
72;3796419958;1:13:02;9;45
73;3796419958;1:13:57;9;45
74;3796419958;1:15:05;9;45
75;3796419958;1:16:01;9;45
76;3796419958;1:16:57;9;45
77;3796419958;1:18:04;9;45
78;3796419958;1:19:00;9;45
79;3796419958;1:20:07;9;45
80;3796419958;1:21:03;9;45
81;3796419958;1:21:59;9;45
82;3796419958;1:23:06;9;45
83;3796419958;1:24:02;9;45
84;3796419958;1:25:09;9;45
85;3796419958;1:26:05;9;45
86;3796419958;1:27:12;9;45
87;3796419958;1:28:08;8;45
88;3796419958;1:29:04;8;45
89;3796419958;1:30:11;8;45
90;3796419958;1:31:07;8;45
91;3796419958;1:32:15;7;45
92;3796419958;1:33:11;7;45
93;3796419958;1:34:07;7;45
94;3796419958;1:35:14;7;45
95;3796419958;1:36:10;7;45
96;3796419958;1:37:17;7;45
97;3796419958;1:38:13;7;45
98;3796419958;1:39:20;6;45
99;3796419958;1:40:16;6;45
100;3796419958;1:41:12;6;45
101;3796419958;1:42:19;5;45
102;3796419958;1:43:15;5;45
103;3796419958;1:44:22;4;45
104;3796419958;1:45:18;4;45
105;3796419958;1:46:14;4;45
106;3796419958;1:47:21;4;45
107;3796419958;1:48:17;4;45
108;3796419958;1:49:25;4;45
109;3796419958;1:50:21;4;45
110;3796419958;1:51:28;4;45
111;3796419958;1:52:24;4;45
112;3796419958;1:53:20;4;45
113;3796419958;1:54:27;3;45
114;3796419958;1:55:23;3;45
115;3796419958;1:56:30;2;45
116;3796419958;1:57:26;2;45
117;3796419958;1:58:00;2;45
118;3796419958;1:58:00;2;45
