index;id_torneio;time;remaining_players;number_of_entries
0;3796415803;0:00:16;24;45
1;3796415803;0:01:10;45;45
2;3796415803;0:02:16;45;45
3;3796415803;0:03:10;45;45
4;3796415803;0:04:16;44;45
5;3796415803;0:05:10;43;45
6;3796415803;0:06:16;43;45
7;3796415803;0:07:10;43;45
8;3796415803;0:08:16;43;45
9;3796415803;0:09:21;42;45
10;3796415803;0:10:16;41;45
11;3796415803;0:11:21;41;45
12;3796415803;0:12:16;40;45
13;3796415803;0:13:21;40;45
14;3796415803;0:14:16;39;45
15;3796415803;0:15:21;39;45
16;3796415803;0:16:16;39;45
17;3796415803;0:17:21;39;45
18;3796415803;0:18:26;38;45
19;3796415803;0:19:21;38;45
20;3796415803;0:20:26;35;45
21;3796415803;0:21:21;34;45
22;3796415803;0:22:27;34;45
23;3796415803;0:23:21;32;45
24;3796415803;0:24:27;31;45
25;3796415803;0:25:32;31;45
26;3796415803;0:26:27;31;45
27;3796415803;0:27:32;29;45
28;3796415803;0:28:27;29;45
29;3796415803;0:29:32;28;45
30;3796415803;0:30:27;28;45
31;3796415803;0:31:32;28;45
32;3796415803;0:32:27;27;45
33;3796415803;0:33:32;27;45
34;3796415803;0:34:37;26;45
35;3796415803;0:35:32;26;45
36;3796415803;0:36:37;26;45
37;3796415803;0:37:32;26;45
38;3796415803;0:38:37;25;45
39;3796415803;0:39:32;25;45
40;3796415803;0:40:37;24;45
41;3796415803;0:41:32;24;45
42;3796415803;0:42:37;23;45
43;3796415803;0:43:43;23;45
44;3796415803;0:44:37;22;45
45;3796415803;0:45:43;21;45
46;3796415803;0:46:37;20;45
47;3796415803;0:47:43;19;45
48;3796415803;0:48:37;19;45
49;3796415803;0:49:43;19;45
50;3796415803;0:50:48;19;45
51;3796415803;0:51:43;17;45
52;3796415803;0:52:48;17;45
53;3796415803;0:53:43;16;45
54;3796415803;0:54:48;15;45
55;3796415803;0:55:43;15;45
56;3796415803;0:56:48;14;45
57;3796415803;0:57:43;14;45
58;3796415803;0:58:48;14;45
59;3796415803;0:59:54;14;45
60;3796415803;1:00:48;14;45
61;3796415803;1:01:54;14;45
62;3796415803;1:02:48;13;45
63;3796415803;1:03:54;13;45
64;3796415803;1:04:48;13;45
65;3796415803;1:05:54;13;45
66;3796415803;1:06:59;13;45
67;3796415803;1:07:54;13;45
68;3796415803;1:08:59;13;45
69;3796415803;1:00:54;13;45
70;3796415803;1:10:59;13;45
71;3796415803;1:11:54;13;45
72;3796415803;1:12:59;13;45
73;3796415803;1:13:54;13;45
74;3796415803;1:14:59;13;45
75;3796415803;1:16:05;13;45
76;3796415803;1:16:59;12;45
77;3796415803;1:18:05;11;45
78;3796415803;1:18:59;11;45
79;3796415803;1:20:05;10;45
80;3796415803;1:20:59;10;45
81;3796415803;1:22:05;8;45
82;3796415803;1:22:59;8;45
83;3796415803;1:24:05;8;45
84;3796415803;1:25:10;7;45
85;3796415803;1:26:05;7;45
86;3796415803;1:27:10;7;45
87;3796415803;1:28:05;7;45
88;3796415803;1:29:10;7;45
89;3796415803;1:30:05;6;45
90;3796415803;1:31:10;6;45
91;3796415803;1:32:16;6;45
92;3796415803;1:33:10;6;45
93;3796415803;1:34:16;6;45
94;3796415803;1:35:10;6;45
95;3796415803;1:36:16;6;45
96;3796415803;1:37:10;6;45
97;3796415803;1:38:16;6;45
98;3796415803;1:39:10;6;45
99;3796415803;1:40:16;6;45
100;3796415803;1:41:21;5;45
101;3796415803;1:42:16;5;45
102;3796415803;1:43:21;5;45
103;3796415803;1:44:16;4;45
104;3796415803;1:45:21;4;45
105;3796415803;1:46:16;4;45
106;3796415803;1:47:21;4;45
107;3796415803;1:48:16;3;45
108;3796415803;1:49:21;3;45
109;3796415803;1:50:27;3;45
110;3796415803;1:51:21;2;45
111;3796415803;1:52:27;2;45
112;3796415803;1:53:21;2;45
113;3796415803;1:54:27;2;45
114;3796415803;1:55:00;2;45
115;3796415803;1:55:00;2;45
