index;id_torneio;time;remaining_players;number_of_entries
0;3796285075;0:00:16;23;45
1;3796285075;0:01:07;25;45
2;3796285075;0:02:09;28;45
3;3796285075;0:03:11;30;45
4;3796285075;0:04:13;32;45
5;3796285075;0:05:15;33;45
6;3796285075;0:06:17;34;45
7;3796285075;0:07:19;35;45
8;3796285075;0:08:11;39;45
9;3796285075;0:09:13;42;45
10;3796285075;0:10:15;42;45
11;3796285075;0:11:17;40;45
12;3796285075;0:12:19;38;45
13;3796285075;0:13:21;38;45
14;3796285075;0:14:23;37;45
15;3796285075;0:15:25;37;45
16;3796285075;0:16:17;36;45
17;3796285075;0:17:19;35;45
18;3796285075;0:18:21;35;45
19;3796285075;0:19:23;34;45
20;3796285075;0:20:25;34;45
21;3796285075;0:21:27;34;45
22;3796285075;0:22:29;34;45
23;3796285075;0:23:21;33;45
24;3796285075;0:24:23;31;45
25;3796285075;0:25:25;30;45
26;3796285075;0:26:27;29;45
27;3796285075;0:27:29;29;45
28;3796285075;0:28:31;28;45
29;3796285075;0:29:33;27;45
30;3796285075;0:30:35;27;45
31;3796285075;0:31:27;26;45
32;3796285075;0:32:29;25;45
33;3796285075;0:33:31;24;45
34;3796285075;0:34:33;24;45
35;3796285075;0:35:35;24;45
36;3796285075;0:36:37;24;45
37;3796285075;0:37:39;23;45
38;3796285075;0:38:31;22;45
39;3796285075;0:39:33;22;45
40;3796285075;0:40:35;21;45
41;3796285075;0:41:37;20;45
42;3796285075;0:42:39;19;45
43;3796285075;0:43:41;17;45
44;3796285075;0:44:43;17;45
45;3796285075;0:45:45;16;45
46;3796285075;0:46:37;16;45
47;3796285075;0:47:39;15;45
48;3796285075;0:48:41;14;45
49;3796285075;0:49:43;14;45
50;3796285075;0:50:45;14;45
51;3796285075;0:51:47;14;45
52;3796285075;0:52:49;14;45
53;3796285075;0:53:41;14;45
54;3796285075;0:54:43;13;45
55;3796285075;0:55:45;13;45
56;3796285075;0:56:47;13;45
57;3796285075;0:57:49;13;45
58;3796285075;0:58:51;12;45
59;3796285075;0:59:53;10;45
60;3796285075;1:00:55;10;45
61;3796285075;1:01:47;9;45
62;3796285075;1:02:49;9;45
63;3796285075;1:03:51;9;45
64;3796285075;1:04:53;8;45
65;3796285075;1:05:55;8;45
66;3796285075;1:06:57;8;45
67;3796285075;1:07:59;8;45
68;3796285075;1:08:50;8;45
69;3796285075;1:09:53;8;45
70;3796285075;1:10:55;8;45
71;3796285075;1:11:57;8;45
72;3796285075;1:12:59;8;45
73;3796285075;1:14:01;8;45
74;3796285075;1:15:03;8;45
75;3796285075;1:16:05;8;45
76;3796285075;1:16:56;8;45
77;3796285075;1:17:58;8;45
78;3796285075;1:19:00;8;45
79;3796285075;1:20:03;8;45
80;3796285075;1:21:05;7;45
81;3796285075;1:22:07;6;45
82;3796285075;1:23:09;6;45
83;3796285075;1:24:11;6;45
84;3796285075;1:25:02;6;45
85;3796285075;1:26:04;6;45
86;3796285075;1:27:06;6;45
87;3796285075;1:28:08;5;45
88;3796285075;1:29:10;5;45
89;3796285075;1:30:13;5;45
90;3796285075;1:31:15;5;45
91;3796285075;1:32:06;5;45
92;3796285075;1:33:08;5;45
93;3796285075;1:34:10;5;45
94;3796285075;1:35:12;5;45
95;3796285075;1:36:14;5;45
96;3796285075;1:37:16;5;45
97;3796285075;1:38:18;4;45
98;3796285075;1:39:21;4;45
99;3796285075;1:40:12;4;45
100;3796285075;1:41:14;4;45
101;3796285075;1:42:16;3;45
102;3796285075;1:43:18;2;45
103;3796285075;1:44:20;2;45
104;3796285075;1:45:22;2;45
105;3796285075;1:46:24;2;45
106;3796285075;1:47:16;2;45
107;3796285075;1:48:18;2;45
108;3796285075;1:49:00;2;45
109;3796285075;1:49:00;2;45
